Match Category,Match Type,Series,Format,Match Desc,Team 1,Team 1 Score,Team 2,Team 2 Score,Status,State,Start Date,End Date,Venue,City
live,Domestic,County Championship Division One 2025,TEST,58th Match,Surrey,246/10 (59.5 overs),Warwickshire,248/10 (74.6 overs),Day 2: Stumps - Surrey lead by 179 runs,Stumps,1757323800000,1757608200000,Kennington Oval,London
live,Domestic,County Championship Division One 2025,TEST,56th Match,Durham,333/10 (100.2 overs),Essex,312/3 (88.6 overs),Day 2: Stumps - Essex trail by 21 runs,Stumps,1757323800000,1757608200000,County Ground,Chelmsford
live,Domestic,County Championship Division One 2025,TEST,59th Match,Hampshire,226/10 (71.3 overs),Sussex,122/10 (51.4 overs),Day 2: Stumps - Sussex need 241 runs,Stumps,1757323800000,1757608200000,County Ground,Hove
live,Domestic,County Championship Division One 2025,TEST,57th Match,Somerset,391/6 (118.3 overs),Yorkshire,/ ( overs),Day 2: Stumps,Stumps,1757323800000,1757608200000,The Cooper Associates County Ground,Taunton
live,Domestic,County Championship Division One 2025,TEST,60th Match,Worcestershire,182/10 (52.5 overs),Nottinghamshire,207/10 (70.2 overs),Day 2: Stumps - Worcestershire lead by 68 runs,Stumps,1757323800000,1757608200000,New Road,Worcester
live,Domestic,"New Zealand A tour of South Africa, 2025",TEST,1st Unofficial Test,New Zealand A,607/7 (128.5 overs),South Africa A,236/10 (56.1 overs),Day 4: 1st Session - South Africa A need 325 runs,In Progress,1757232000000,1757516400000,Senwes Park,Potchefstroom
live,Domestic,County Championship Division Two 2025,TEST,45th Match,Gloucestershire,482/10 (120.4 overs),Leicestershire,270/4 (68.6 overs),Day 2: Stumps - Leicestershire trail by 212 runs,Stumps,1757323800000,1757608200000,Grace Road,Leicester
live,Domestic,County Championship Division Two 2025,TEST,48th Match,Kent,293/10 (85.6 overs),Lancashire,284/10 (77.2 overs),Day 2: Stumps - Kent lead by 105 runs,Stumps,1757323800000,1757608200000,St Lawrence Ground,Canterbury
live,Domestic,County Championship Division Two 2025,TEST,46th Match,Derbyshire,283/10 (86.4 overs),Middlesex,298/10 (91.1 overs),Day 2: Stumps - Derbyshire lead by 2 runs,Stumps,1757323800000,1757608200000,Lord's,London
live,Domestic,County Championship Division Two 2025,TEST,47th Match,Glamorgan,467/10 (121.4 overs),Northamptonshire,309/5 (67.1 overs),Day 2: Stumps - Northamptonshire trail by 158 runs,Stumps,1757323800000,1757608200000,County Ground,Northampton
live,Women,ICC Womens T20 World Cup East Asia Pacific Qualifier 2025,T20,"5th Match, Group B",Japan Women,133/5 (19.6 overs),Samoa Women,62/10 (13.5 overs),Japan Women won by 71 runs,Complete,1757453400000,1757466000000,Albert Park 1,Suva
live,Women,ICC Womens T20 World Cup East Asia Pacific Qualifier 2025,T20,"6th Match, Group A",Indonesia Women,143/6 (19.6 overs),Fiji Women,101/10 (19.3 overs),Indonesia Women won by 42 runs,Complete,1757453400000,1757466000000,Albert Park 2,Suva
upcoming,International,Asia Cup 2025,T20,"2nd Match, Group A",India,/ ( overs),United Arab Emirates,/ ( overs),"Match starts at Sep 10, 14:30 GMT",Preview,1757514600000,1757527200000,Dubai International Cricket Stadium,Dubai
upcoming,International,Asia Cup 2025,T20,"4th Match, Group A",Pakistan,/ ( overs),Oman,/ ( overs),"Match starts at Sep 12, 14:30 GMT",Upcoming,1757687400000,1757700000000,Dubai International Cricket Stadium,Dubai
upcoming,International,Asia Cup 2025,T20,"6th Match, Group A",India,/ ( overs),Pakistan,/ ( overs),"Match starts at Sep 14, 14:30 GMT",Upcoming,1757860200000,1757872800000,Dubai International Cricket Stadium,Dubai
upcoming,International,Asia Cup 2025,T20,"7th Match, Group A",United Arab Emirates,/ ( overs),Oman,/ ( overs),"Match starts at Sep 15, 12:00 GMT",Upcoming,1757937600000,1757950200000,Sheikh Zayed Stadium,Abu Dhabi
upcoming,International,Asia Cup 2025,T20,"8th Match, Group B",Sri Lanka,/ ( overs),Hong Kong,/ ( overs),"Match starts at Sep 15, 14:30 GMT",Upcoming,1757946600000,1757959200000,Dubai International Cricket Stadium,Dubai
upcoming,International,Asia Cup 2025,T20,"9th Match, Group B",Bangladesh,/ ( overs),Afghanistan,/ ( overs),"Match starts at Sep 16, 14:30 GMT",Upcoming,1758033000000,1758045600000,Sheikh Zayed Stadium,Abu Dhabi
upcoming,International,Asia Cup 2025,T20,"5th Match, Group B",Bangladesh,/ ( overs),Sri Lanka,/ ( overs),"Match starts at Sep 13, 14:30 GMT",Upcoming,1757773800000,1757786400000,Sheikh Zayed Stadium,Abu Dhabi
upcoming,International,Asia Cup 2025,T20,"3rd Match, Group B",Bangladesh,/ ( overs),Hong Kong,/ ( overs),"Match starts at Sep 11, 14:30 GMT",Upcoming,1757601000000,1757613600000,Sheikh Zayed Stadium,Abu Dhabi
upcoming,International,"South Africa tour of England, 2025",T20,1st T20I,England,/ ( overs),South Africa,/ ( overs),"Match starts at Sep 10, 17:30 GMT",Preview,1757525400000,1757538000000,Sophia Gardens,Cardiff
upcoming,International,"South Africa tour of England, 2025",T20,2nd T20I,England,/ ( overs),South Africa,/ ( overs),"Match starts at Sep 12, 17:30 GMT",Upcoming,1757698200000,1757710800000,Emirates Old Trafford,Manchester
upcoming,International,"South Africa tour of England, 2025",T20,3rd T20I,England,/ ( overs),South Africa,/ ( overs),"Match starts at Sep 14, 13:30 GMT",Upcoming,1757856600000,1757869200000,Trent Bridge,Nottingham
upcoming,International,Mozambique tour of Eswatini 2025,T20,1st T20I,Eswatini,/ ( overs),Mozambique,/ ( overs),"Match starts at Sep 12, 07:30 GMT",Upcoming,1757662200000,1757674800000,Malkerns Country Club oval,Malkerns
upcoming,International,Mozambique tour of Eswatini 2025,T20,2nd T20I,Eswatini,/ ( overs),Mozambique,/ ( overs),"Match starts at Sep 12, 11:30 GMT",Upcoming,1757676600000,1757689200000,Malkerns Country Club oval,Malkerns
upcoming,International,Mozambique tour of Eswatini 2025,T20,3rd T20I,Eswatini,/ ( overs),Mozambique,/ ( overs),"Match starts at Sep 13, 07:30 GMT",Upcoming,1757748600000,1757761200000,Malkerns Country Club oval,Malkerns
upcoming,International,Mozambique tour of Eswatini 2025,T20,4th T20I,Eswatini,/ ( overs),Mozambique,/ ( overs),"Match starts at Sep 13, 11:30 GMT",Upcoming,1757763000000,1757775600000,Malkerns Country Club oval,Malkerns
upcoming,International,Mozambique tour of Eswatini 2025,T20,5th T20I,Eswatini,/ ( overs),Mozambique,/ ( overs),"Match starts at Sep 14, 11:00 GMT",Upcoming,1757847600000,1757860200000,Malkerns Country Club oval,Malkerns
upcoming,International,Namibia tour of Zimbabwe 2025,T20,1st T20I,Zimbabwe,/ ( overs),Namibia,/ ( overs),"Match starts at Sep 15, 07:30 GMT",Upcoming,1757921400000,1757934000000,Queens Sports Club,Bulawayo
upcoming,International,Namibia tour of Zimbabwe 2025,T20, 2nd T20I,Zimbabwe,/ ( overs),Namibia,/ ( overs),"Match starts at Sep 16, 11:30 GMT",Upcoming,1758022200000,1758034800000,Queens Sports Club,Bulawayo
upcoming,League,Caribbean Premier League 2025,T20,26th Match,Guyana Amazon Warriors,/ ( overs),Antigua and Barbuda Falcons,/ ( overs),"Match starts at Sep 11, 23:00 GMT",Preview,1757545200000,1757557800000,Providence Stadium,Guyana
upcoming,League,Caribbean Premier League 2025,T20,27th Match,Barbados Royals,/ ( overs),St Kitts and Nevis Patriots,/ ( overs),"Match starts at Sep 12, 23:00 GMT",Upcoming,1757631600000,1757644200000,Kensington Oval,"Bridgetown, Barbados"
upcoming,League,Caribbean Premier League 2025,T20,28th Match,Barbados Royals,/ ( overs),Trinbago Knight Riders,/ ( overs),"Match starts at Sep 13, 23:00 GMT",Upcoming,1757718000000,1757730600000,Kensington Oval,"Bridgetown, Barbados"
upcoming,League,Caribbean Premier League 2025,T20,29th Match,Guyana Amazon Warriors,/ ( overs),Saint Lucia Kings,/ ( overs),"Match starts at Sep 13, 15:00 GMT",Upcoming,1757775600000,1757788200000,Providence Stadium,Guyana
upcoming,League,Caribbean Premier League 2025,T20,30th Match,Guyana Amazon Warriors,/ ( overs),Barbados Royals,/ ( overs),"Match starts at Sep 15, 23:00 GMT",Upcoming,1757890800000,1757903400000,Providence Stadium,Guyana
upcoming,League,Caribbean Premier League 2025,T20,Eliminator,TBC,/ ( overs),TBC,/ ( overs),"Match starts at Sep 16, 00:00 GMT",Upcoming,1758067200000,1758079800000,Providence Stadium,Guyana
upcoming,League,T20 Blast 2025,T20,1st Semi-Final,Northamptonshire,/ ( overs),Hampshire,/ ( overs),"Match starts at Sep 13, 10:00 GMT",Upcoming,1757757600000,1757770200000,Edgbaston,Birmingham
upcoming,League,T20 Blast 2025,T20,2nd Semi-Final,Lancashire,/ ( overs),Somerset,/ ( overs),"Match starts at Sep 13, 13:30 GMT",Upcoming,1757770200000,1757782800000,Edgbaston,Birmingham
upcoming,League,T20 Blast 2025,T20,Final,TBC,/ ( overs),TBC,/ ( overs),"Match starts at Sep 13, 17:45 GMT",Upcoming,1757785500000,1757798100000,Edgbaston,Birmingham
upcoming,Domestic,Duleep Trophy 2025,TEST,Final,South Zone,/ ( overs),Central Zone,/ ( overs),"Match starts at Sep 11, 04:00 GMT",Preview,1757563200000,1757934000000,BCCI Centre of Excellence Ground,Bengaluru
upcoming,Domestic,Australia Domestic One-Day Cup 2025-26,ODI,1st Match,New South Wales,/ ( overs),Tasmania,/ ( overs),"Match starts at Sep 16, 23:30 GMT",Upcoming,1757979000000,1758007800000,Cricket Central,Sydney
upcoming,Domestic,Australia Domestic One-Day Cup 2025-26,ODI,2nd Match,Queensland,/ ( overs),Victoria,/ ( overs),"Match starts at Sep 17, 23:30 GMT",Upcoming,1758065400000,1758094200000,Allan Border Field,Brisbane
upcoming,Domestic,"Australia A tour of India, 2025",TEST,1st Unofficial Test,India A,/ ( overs),Australia A,/ ( overs),"Match starts at Sep 16, 03:30 GMT",Upcoming,1757993400000,1758277800000,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow
upcoming,Domestic,County Championship Division One 2025,TEST,61st Match,Warwickshire,/ ( overs),Essex,/ ( overs),"Match starts at Sep 15, 10:00 GMT",Upcoming,1757930400000,1758214800000,Edgbaston,Birmingham
upcoming,Domestic,County Championship Division One 2025,TEST,62nd Match,Durham,/ ( overs),Worcestershire,/ ( overs),"Match starts at Sep 15, 10:00 GMT",Upcoming,1757930400000,1758214800000,Riverside Ground,Chester-le-Street
upcoming,Domestic,County Championship Division One 2025,TEST,63rd Match,Sussex,/ ( overs),Yorkshire,/ ( overs),"Match starts at Sep 15, 10:00 GMT",Upcoming,1757930400000,1758214800000,County Ground,Hove
upcoming,Domestic,County Championship Division One 2025,TEST,64th Match,Surrey,/ ( overs),Nottinghamshire,/ ( overs),"Match starts at Sep 15, 10:00 GMT",Upcoming,1757930400000,1758214800000,Kennington Oval,London
upcoming,Domestic,County Championship Division One 2025,TEST,65th Match,Somerset,/ ( overs),Hampshire,/ ( overs),"Match starts at Sep 15, 10:00 GMT",Upcoming,1757930400000,1758214800000,The Cooper Associates County Ground,Taunton
upcoming,Domestic,"New Zealand A tour of South Africa, 2025",TEST,2nd Unofficial Test,South Africa A,/ ( overs),New Zealand A,/ ( overs),"Match starts at Sep 14, 08:00 GMT",Upcoming,1757836800000,1758121200000,LC de Villiers Oval,Pretoria
upcoming,Domestic,County Championship Division Two 2025,TEST,51st Match,Gloucestershire,/ ( overs),Northamptonshire,/ ( overs),"Match starts at Sep 15, 10:00 GMT",Upcoming,1757930400000,1758214800000,County Ground,Bristol
upcoming,Domestic,County Championship Division Two 2025,TEST,52nd Match,Derbyshire,/ ( overs),Glamorgan,/ ( overs),"Match starts at Sep 15, 10:00 GMT",Upcoming,1757930400000,1758214800000,County Ground,Derby
upcoming,Domestic,County Championship Division Two 2025,TEST,49th Match,Leicestershire,/ ( overs),Kent,/ ( overs),"Match starts at Sep 15, 10:00 GMT",Upcoming,1757930400000,1758214800000,Grace Road,Leicester
upcoming,Domestic,County Championship Division Two 2025,TEST,50th Match,Lancashire,/ ( overs),Middlesex,/ ( overs),"Match starts at Sep 15, 10:00 GMT",Upcoming,1757930400000,1758214800000,Emirates Old Trafford,Manchester
upcoming,Women,"Australia Women tour of India, 2025",ODI,1st ODI,India Women,/ ( overs),Australia Women,/ ( overs),"Match starts at Sep 14, 08:00 GMT",Upcoming,1757836800000,1757865600000,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",New Chandigarh
upcoming,Women,"Australia Women tour of India, 2025",ODI,2nd ODI,India Women,/ ( overs),Australia Women,/ ( overs),"Match starts at Sep 17, 08:00 GMT",Upcoming,1758096000000,1758124800000,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",New Chandigarh
upcoming,Women,ICC Womens T20 World Cup East Asia Pacific Qualifier 2025,T20,"9th Match, Group A",Cook Islands Women,/ ( overs),Indonesia Women,/ ( overs),"Match starts at Sep 12, 09:30 GMT",Upcoming,1757626200000,1757638800000,Albert Park 1,Suva
upcoming,Women,ICC Womens T20 World Cup East Asia Pacific Qualifier 2025,T20,"10th Match, Group B",Philippines Women,/ ( overs),Japan Women,/ ( overs),"Match starts at Sep 12, 09:30 GMT",Upcoming,1757626200000,1757638800000,Albert Park 2,Suva
upcoming,Women,ICC Womens T20 World Cup East Asia Pacific Qualifier 2025,T20,"11th Match, Group A",Fiji Women,/ ( overs),Vanuatu Women,/ ( overs),"Match starts at Sep 12, 13:30 GMT",Upcoming,1757640600000,1757653200000,Albert Park 1,Suva
upcoming,Women,ICC Womens T20 World Cup East Asia Pacific Qualifier 2025,T20,"12th Match, Group B",Samoa Women,/ ( overs),Papua New Guinea Women,/ ( overs),"Match starts at Sep 12, 13:30 GMT",Upcoming,1757640600000,1757653200000,Albert Park 2,Suva
upcoming,Women,ICC Womens T20 World Cup East Asia Pacific Qualifier 2025,T20,Playoffs - Match 1,TBC,/ ( overs),TBC,/ ( overs),"Match starts at Sep 13, 09:00 GMT",Upcoming,1757710800000,1757723400000,Albert Park 1,Suva
upcoming,Women,ICC Womens T20 World Cup East Asia Pacific Qualifier 2025,T20,Playoffs - Match 2,TBC,/ ( overs),TBC,/ ( overs),"Match starts at Aug 13, 09:00 GMT",Upcoming,1757710800000,1757723400000,Albert Park 2,Suva
upcoming,Women,ICC Womens T20 World Cup East Asia Pacific Qualifier 2025,T20,1st Semi-Final,TBC,/ ( overs),TBC,/ ( overs),"Match starts at Sep 13, 13:30 GMT",Upcoming,1757727000000,1757739600000,Albert Park 1,Suva
upcoming,Women,ICC Womens T20 World Cup East Asia Pacific Qualifier 2025,T20,2nd Semi-Final,TBC,/ ( overs),TBC,/ ( overs),"Match starts at Sep 13, 13:30 GMT",Upcoming,1757727000000,1757739600000,Albert Park 2,Suva
upcoming,Women,ICC Womens T20 World Cup East Asia Pacific Qualifier 2025,T20,5th Place Play-off,TBC,/ ( overs),TBC,/ ( overs),"Match starts at Sep 15, 09:30 GMT",Upcoming,1757885400000,1757898000000,Albert Park 1,Suva
upcoming,Women,ICC Womens T20 World Cup East Asia Pacific Qualifier 2025,T20,7th Place Play-off,TBC,/ ( overs),TBC,/ ( overs),"Match starts at Sep 15, 09:30 GMT",Upcoming,1757885400000,1757898000000,Albert Park 2,Suva
upcoming,Women,ICC Womens T20 World Cup East Asia Pacific Qualifier 2025,T20,Final,TBC,/ ( overs),TBC,/ ( overs),"Match starts at Sep 15, 13:30 GMT",Upcoming,1757899800000,1757912400000,Albert Park 1,Suva
upcoming,Women,ICC Womens T20 World Cup East Asia Pacific Qualifier 2025,T20,3rd place play-off,TBC,/ ( overs),TBC,/ ( overs),"Match starts at Sep 15, 13:30 GMT",Upcoming,1757899800000,1757912400000,Albert Park 2,Suva
upcoming,Women,"Luxembourg Womens T20I Tri-Series, 2025",T20,1st Match,Luxembourg Women,/ ( overs),Switzerland Women,/ ( overs),"Match starts at Sep 12, 14:00 GMT",Upcoming,1757685600000,1757698200000,Pierre Werner Cricket Ground,Walferdange
upcoming,Women,"Luxembourg Womens T20I Tri-Series, 2025",T20,2nd Match,Austria Women,/ ( overs),Luxembourg Women,/ ( overs),"Match starts at Sep 13, 08:30 GMT",Upcoming,1757752200000,1757764800000,Pierre Werner Cricket Ground,Walferdange
upcoming,Women,"Luxembourg Womens T20I Tri-Series, 2025",T20,3rd Match,Austria Women,/ ( overs),Switzerland Women,/ ( overs),"Match starts at Sep 13, 12:30 GMT",Upcoming,1757766600000,1757779200000,Pierre Werner Cricket Ground,Walferdange
upcoming,Women,"Luxembourg Womens T20I Tri-Series, 2025",T20,3rd Place Play-off,TBC,/ ( overs),TBC,/ ( overs),"Match starts at Sep 14, 08:30 GMT",Upcoming,1757838600000,1757851200000,Pierre Werner Cricket Ground,Walferdange
upcoming,Women,"Luxembourg Womens T20I Tri-Series, 2025",T20,Final,TBC,/ ( overs),TBC,/ ( overs),"Match starts at Sep 14, 12:30 GMT",Upcoming,1757853000000,1757865600000,Pierre Werner Cricket Ground,Walferdange
