team_id,team_name,short_name
7,United Arab Emirates,UAE
2,India,IND
96,Afghanistan,AFG
8,Hong Kong,HK
11,South Africa,RSA
9,England,ENG
3,Pakistan,PAK
26,Canada,CAN
23,Scotland,SCO
161,Namibia,NAM
5,Sri Lanka,SL
12,Zimbabwe,ZIM
557,Isle of Man,IOM
534,Sweden,SWE
159,Guyana Amazon Warriors,GAW
1978,Antigua and Barbuda Falcons,ABF
271,Trinbago Knight Riders,TKR
262,Barbados Royals,BR
263,Saint Lucia Kings,SLK
302,St Kitts and Nevis Patriots,SNP
140,Warwickshire,WARKS
119,Somerset,SOM
150,Kent,KENT
143,Lancashire,LANCS
153,Hampshire,HAM
141,Durham,DUR
2833,Meerut Mavericks,MRM
2844,Lucknow Falcons,LFC
2800,Kashi Rudras,KRD
2752,Thrissur Titans,TST
2778,Aries Kollam Sailors,AKS
2733,Kochi Blue Tigers,KBT
2741,Calicut Globstars,CGS
236,South Zone,SZONE
233,North Zone,NZONE
234,West Zone,WZONE
237,Central Zone,CZONE
80,New Zealand A,NZA
268,South Africa A,RSAA
1521,Estonia Women,ESTW
1987,Czech Republic Women,CZEW
1032,Jersey Women,JERW
491,Brazil Women,BRAW
487,Japan Women,JPNW
1181,Fiji Women,FIJIW
483,Tanzania Women,TANW
503,Namibia Women,NAMW
388,Zimbabwe Women,ZIMW
720,Rwanda Women,RWAW
501,Kenya Women,KENW
490,Sierra Leone Women,SLEW
1482,Nigeria Women,NGAW
448,Uganda Women,UGAW
1754,Cook Islands Women,CISW
506,Vanuatu Women,VANW
482,Samoa Women,WSMW
390,Papua New Guinea Women,PNGW
1514,Philippines Women,PHIW
484,Indonesia Women,IDNW
1144,Guyana Amazon Warriors Women,GAWW
1137,Barbados Royals Women,BRW
1139,Trinbago Knight Riders Women,TKRW
6,Bangladesh,BAN
304,Oman,OMAN
27,Ireland,IRE
1284,Eswatini,SWT
551,Mozambique,MOZ
106,TBC,TBC
142,Northamptonshire,NHNTS
104,New South Wales,NSW
166,Tasmania,TAS
164,Queensland,QL
52,Victoria,VIC
78,India A,INDA
79,Australia A,AUSA
152,Essex,ESS
147,Worcestershire,WORCS
41,Sussex,SUS
146,Yorkshire,YORKS
148,Surrey,SUR
139,Nottinghamshire,NOTTS
145,Leicestershire,LEIC
74,Middlesex,MDX
151,Gloucestershire,GLOUCS
144,Derbyshire,DERBY
149,Glamorgan,GLAM
97,India Women,INDW
100,Australia Women,AUSW
1794,Luxembourg Women,LUXW
2390,Switzerland Women,SUIW
775,Austria Women,AUTW
259,Pakistan Women,PAKW
260,South Africa Women,RSAW
