venue_id,ground,city,timezone
153,Dubai International Cricket Stadium,Dubai,+04:00
94,Sheikh Zayed Stadium,Abu Dhabi,+04:00
62,Sophia Gardens,Cardiff,+01:00
21,The Rose Bowl,Southampton,+01:00
19,Lord's,London,+01:00
140,Sharjah Cricket Stadium,Sharjah,+04:00
139,Maple Leaf North-West Ground,King City,-04:00
69,Harare Sports Club,Harare,+02:00
1438142,Cronkbourne Sports and Social Club Ground,Tromode,+01:00
110,Providence Stadium,Guyana,-04:00
55,Kensington Oval,"Bridgetown, Barbados",-04:00
223,The Cooper Associates County Ground,Taunton,+01:00
65,Emirates Old Trafford,Manchester,+01:00
60,Riverside Ground,Chester-le-Street,+01:00
485,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow,+05:30
506,Greenfield International Stadium,Thiruvananthapuram,+05:30
1438087,BCCI Centre of Excellence Ground,Bengaluru,+05:30
1438102,BCCI Centre of Excellence Ground B,Bengaluru,+05:30
102,Senwes Park,Potchefstroom,+02:00
1552,Estonian National Cricket and Rugby Field,Tallinn,+03:00
1438153,New Farnley Cricket Club,Leeds,+01:00
1438120,Albert Park 1,Suva,+12:00
1438021,Namibia Cricket Ground, Windhoek,+02:00
1438052,High Performance Oval,Windhoek,+02:00
1438123,Albert Park 2,Suva,+12:00
18,Trent Bridge,Nottingham,+01:00
370,The Village,Dublin,+01:00
1877,Malkerns Country Club oval,Malkerns,+02:00
70,Queens Sports Club,Bulawayo,+02:00
20,Edgbaston,Birmingham,+01:00
1727,Cricket Central,Sydney,+11:00
300,Allan Border Field,Brisbane,+10:00
292,County Ground,Hove,+01:00
12,Kennington Oval,London,+01:00
367,LC de Villiers Oval,Pretoria,+02:00
222,Grace Road,Leicester,+01:00
63,County Ground,Bristol,+01:00
226,County Ground,Derby,+01:00
851,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",New Chandigarh,+05:30
719,Pierre Werner Cricket Ground,Walferdange,+02:00
26,Gaddafi Stadium,Lahore,+05:00
118,County Ground,Chelmsford,+01:00
225,New Road,Worcester,+01:00
119,County Ground,Northampton,+01:00
67,St Lawrence Ground,Canterbury,+01:00
